[train: 1, 50 / 3750] FPS: 21.1 (20.9)  ,  DataTime: 0.602 (0.013)  ,  ForwardTime: 0.144  ,  TotalTime: 0.759  ,  Loss/total: 3.77178  ,  Loss/giou: 0.65087  ,  Loss/l1: 0.10060  ,  Loss/location: 1.96706  ,  IoU: 0.46763
[train: 1, 100 / 3750] FPS: 21.4 (18.7)  ,  DataTime: 0.597 (0.012)  ,  ForwardTime: 0.138  ,  TotalTime: 0.747  ,  Loss/total: 2.80693  ,  Loss/giou: 0.54526  ,  Loss/l1: 0.07458  ,  Loss/location: 1.34349  ,  IoU: 0.54266
[train: 1, 150 / 3750] FPS: 21.4 (22.5)  ,  DataTime: 0.601 (0.012)  ,  ForwardTime: 0.135  ,  TotalTime: 0.748  ,  Loss/total: 2.40425  ,  Loss/giou: 0.49184  ,  Loss/l1: 0.06331  ,  Loss/location: 1.10402  ,  IoU: 0.58101
[train: 1, 50 / 3750] FPS: 21.5 (21.1)  ,  DataTime: 0.589 (0.011)  ,  ForwardTime: 0.145  ,  TotalTime: 0.745  ,  Loss/total: 3.77178  ,  Loss/giou: 0.65087  ,  Loss/l1: 0.10060  ,  Loss/location: 1.96706  ,  IoU: 0.46763
[train: 1, 100 / 3750] FPS: 21.8 (21.2)  ,  DataTime: 0.584 (0.011)  ,  ForwardTime: 0.138  ,  TotalTime: 0.733  ,  Loss/total: 2.80693  ,  Loss/giou: 0.54526  ,  Loss/l1: 0.07458  ,  Loss/location: 1.34349  ,  IoU: 0.54266
[train: 1, 150 / 3750] FPS: 21.8 (23.6)  ,  DataTime: 0.587 (0.011)  ,  ForwardTime: 0.135  ,  TotalTime: 0.733  ,  Loss/total: 2.40425  ,  Loss/giou: 0.49184  ,  Loss/l1: 0.06331  ,  Loss/location: 1.10402  ,  IoU: 0.58101
[train: 1, 200 / 3750] FPS: 21.9 (20.6)  ,  DataTime: 0.586 (0.011)  ,  ForwardTime: 0.133  ,  TotalTime: 0.731  ,  Loss/total: 2.20991  ,  Loss/giou: 0.46636  ,  Loss/l1: 0.05816  ,  Loss/location: 0.98641  ,  IoU: 0.60070
[train: 1, 250 / 3750] FPS: 21.9 (21.6)  ,  DataTime: 0.586 (0.011)  ,  ForwardTime: 0.132  ,  TotalTime: 0.730  ,  Loss/total: 2.10086  ,  Loss/giou: 0.45274  ,  Loss/l1: 0.05493  ,  Loss/location: 0.92074  ,  IoU: 0.61059
[train: 1, 300 / 3750] FPS: 22.0 (21.9)  ,  DataTime: 0.585 (0.011)  ,  ForwardTime: 0.132  ,  TotalTime: 0.729  ,  Loss/total: 2.01851  ,  Loss/giou: 0.44225  ,  Loss/l1: 0.05299  ,  Loss/location: 0.86907  ,  IoU: 0.61901
[train: 1, 350 / 3750] FPS: 21.9 (21.4)  ,  DataTime: 0.587 (0.011)  ,  ForwardTime: 0.132  ,  TotalTime: 0.730  ,  Loss/total: 1.94603  ,  Loss/giou: 0.43219  ,  Loss/l1: 0.05134  ,  Loss/location: 0.82494  ,  IoU: 0.62700
[train: 1, 400 / 3750] FPS: 22.0 (21.8)  ,  DataTime: 0.586 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.728  ,  Loss/total: 1.90518  ,  Loss/giou: 0.42668  ,  Loss/l1: 0.05002  ,  Loss/location: 0.80173  ,  IoU: 0.63101
[train: 1, 450 / 3750] FPS: 22.0 (20.1)  ,  DataTime: 0.586 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.728  ,  Loss/total: 1.85669  ,  Loss/giou: 0.41835  ,  Loss/l1: 0.04869  ,  Loss/location: 0.77655  ,  IoU: 0.63774
[train: 1, 500 / 3750] FPS: 22.0 (21.6)  ,  DataTime: 0.585 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.727  ,  Loss/total: 1.81893  ,  Loss/giou: 0.41222  ,  Loss/l1: 0.04767  ,  Loss/location: 0.75614  ,  IoU: 0.64250
[train: 1, 550 / 3750] FPS: 22.0 (22.5)  ,  DataTime: 0.586 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.728  ,  Loss/total: 1.79106  ,  Loss/giou: 0.40794  ,  Loss/l1: 0.04690  ,  Loss/location: 0.74070  ,  IoU: 0.64561
[train: 1, 600 / 3750] FPS: 22.0 (20.2)  ,  DataTime: 0.587 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.729  ,  Loss/total: 1.76601  ,  Loss/giou: 0.40381  ,  Loss/l1: 0.04630  ,  Loss/location: 0.72692  ,  IoU: 0.64905
[train: 1, 650 / 3750] FPS: 21.9 (21.2)  ,  DataTime: 0.587 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.729  ,  Loss/total: 1.74536  ,  Loss/giou: 0.40047  ,  Loss/l1: 0.04577  ,  Loss/location: 0.71556  ,  IoU: 0.65180
[train: 1, 700 / 3750] FPS: 21.9 (20.3)  ,  DataTime: 0.588 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.730  ,  Loss/total: 1.72680  ,  Loss/giou: 0.39713  ,  Loss/l1: 0.04519  ,  Loss/location: 0.70660  ,  IoU: 0.65440
[train: 1, 750 / 3750] FPS: 21.9 (19.7)  ,  DataTime: 0.588 (0.011)  ,  ForwardTime: 0.131  ,  TotalTime: 0.730  ,  Loss/total: 1.70999  ,  Loss/giou: 0.39414  ,  Loss/l1: 0.04469  ,  Loss/location: 0.69828  ,  IoU: 0.65672
[train: 1, 800 / 3750] FPS: 21.9 (21.7)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.131  ,  TotalTime: 0.731  ,  Loss/total: 1.69369  ,  Loss/giou: 0.39140  ,  Loss/l1: 0.04423  ,  Loss/location: 0.68975  ,  IoU: 0.65883
[train: 1, 850 / 3750] FPS: 21.9 (21.6)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.131  ,  TotalTime: 0.732  ,  Loss/total: 1.68010  ,  Loss/giou: 0.38938  ,  Loss/l1: 0.04383  ,  Loss/location: 0.68219  ,  IoU: 0.66026
[train: 1, 900 / 3750] FPS: 21.9 (22.7)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.67204  ,  Loss/giou: 0.38891  ,  Loss/l1: 0.04382  ,  Loss/location: 0.67514  ,  IoU: 0.66097
[train: 1, 950 / 3750] FPS: 21.9 (23.2)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.731  ,  Loss/total: 1.65936  ,  Loss/giou: 0.38674  ,  Loss/l1: 0.04339  ,  Loss/location: 0.66894  ,  IoU: 0.66258
[train: 1, 1000 / 3750] FPS: 21.9 (21.1)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.731  ,  Loss/total: 1.64850  ,  Loss/giou: 0.38496  ,  Loss/l1: 0.04311  ,  Loss/location: 0.66301  ,  IoU: 0.66398
[train: 1, 1050 / 3750] FPS: 21.8 (21.5)  ,  DataTime: 0.590 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.63841  ,  Loss/giou: 0.38300  ,  Loss/l1: 0.04284  ,  Loss/location: 0.65821  ,  IoU: 0.66574
[train: 1, 1100 / 3750] FPS: 21.9 (24.4)  ,  DataTime: 0.589 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.732  ,  Loss/total: 1.62668  ,  Loss/giou: 0.38105  ,  Loss/l1: 0.04249  ,  Loss/location: 0.65213  ,  IoU: 0.66721
